西银河电视,#genre#
CCTV12社会与法,http://jxcbn.ws-cdn.gitv.tv/hls/CCTV12HD/index.m3u8?gMac=unknown&livodToken=10e369a938b86a6b8a5da1061af8305a51ab83c317e314e62162e0dbd7e712aa_1720897800_604800&fromCDN=ws
CCTV13新闻,http://jxcbn.ws-cdn.gitv.tv/hls/CCTV13HD/index.m3u8?gMac=unknown&livodToken=13b9d525bd3e3c69a0c9d273f03fcb2cb029093ad943cf6e517e0fdedbc2919a_1720897826_604800&fromCDN=ws
CCTV14少儿,http://jxcbn.ws-cdn.gitv.tv/hls/CCTV14HD/index.m3u8?gMac=unknown&livodToken=b87c968d78164aa1ad4d0b2380004a3bae4f434ad4d3ce3d1eaf636c02a358b4_1720897854_604800&fromCDN=ws
CCTV15音乐,http://jxcbn.ws-cdn.gitv.tv/hls/CCTV15/index.m3u8?gMac=unknown&livodToken=37054ea9476ccd5ccaed94ca49af6f14a9132a6593975bcd702563b23d8426c2_1720897880_604800&fromCDN=ws
CCTV16奥林匹克http://jxcbn.ws-cdn.gitv.tv/hls/CCTV16HD/index.m3u8?gMac=unknown&livodToken=&fromCDN=ws
湖南卫视HD,http://jxcbn.ws-cdn.gitv.tv/hls/HUNANHD/index.m3u8?gMac=unknown&livodToken=85b3e843118f2c39c1f3b42e27fa5b625b30a064ac59ee132b7ad30edb1da66b_1720898439_604800&fromCDN=ws
江苏卫视HD,http://jxcbn.ws-cdn.gitv.tv/hls/JIANGSHD/index.m3u8?gMac=unknown&livodToken=9f9a3b7f17ec0b33d5691ea1ae56f671975142931b3e192730038978756835c8_1720898481_604800&fromCDN=ws
浙江卫视HD,http://jxcbn.ws-cdn.gitv.tv/hls/ZHEJHD/index.m3u8?gMac=unknown&livodToken=86accc147c0fff2bc3e17bd9da3a98c64a5ef3847a7c545615ec4c0d7e7ef100_1720898507_604800&fromCDN=ws
北京卫视HD,http://jxcbn.ws-cdn.gitv.tv/hls/BEIJHD/index.m3u8?gMac=unknown&livodToken=cae00ef48e7276aefc57fc9927fc2c776f5dc50ed633415778007fbea6980aac_1720897943_604800&fromCDN=ws
东方卫视HD,http://jxcbn.ws-cdn.gitv.tv/hls/DONGFHD/index.m3u8?gMac=unknown&livodToken=47b51dc4873eec0559c5baabc507c34c30ef22cf2fb801c6784b671974a9aea1_1720897978_604800&fromCDN=ws
天津卫视HD,http://jxcbn.ws-cdn.gitv.tv/hls/TIANJHD/index.m3u8?gMac=unknown&livodToken=532156e179f8d2ec286410853e482cfb49d9d5230dfc16b4296c89051dea3131_1720898001_604800&fromCDN=ws
广东卫视HD,http://jxcbn.ws-cdn.gitv.tv/hls/GUANGDHD/index.m3u8?gMac=unknown&livodToken=f8303eed86390c44aa1123f475ed13f336e98a1b7d5784434d365d8ac0f00837_1720898558_604800&fromCDN=ws
深圳卫视HD,http://jxcbn.ws-cdn.gitv.tv/hls/SHENZHD/index.m3u8?gMac=unknown&livodToken=ee0800465b9431d31449cc830c1108af2c37b6a108a1c82fec96a934efb9a099_1720898583_604800&fromCDN=ws
重庆卫视HD,http://jxcbn.ws-cdn.gitv.tv/hls/CHONGQHD/index.m3u8?gMac=unknown&livodToken=6855fae5e6d6f2117c14cee6c0606e63c2dd1750bba617171121d1f0c5407893_1720898040_604800&fromCDN=ws
安徽卫视HD,http://jxcbn.ws-cdn.gitv.tv/hls/ANHUIHD/index.m3u8?gMac=unknown&livodToken=80a0cb9076ebc22c063da37ccd2298cbd2c868e74cea6c69dc0b877e540b45b1_1720898365_604800&fromCDN=ws
河南卫视HD,http://jxcbn.ws-cdn.gitv.tv/hls/HENHD/index.m3u8?gMac=unknown&livodToken=3c53453718cea7e802654923559a13ee722458d43ed7e180ca0001e7d02f3ef9_1720898392_604800&fromCDN=ws
湖北卫视HD,http://jxcbn.ws-cdn.gitv.tv/hls/HUBEIHD/index.m3u8?gMac=unknown&livodToken=88f167a7aae8ce69881683d608ef0ee95f760a0d91ba8b777f567295c6391e52_1720898416_604800&fromCDN=ws
江西卫视HD,http://jxcbn.ws-cdn.gitv.tv/hls/JXWSHD/index.m3u8?gMac=unknown&livodToken=9e6d57e72ae54298f95cb68c5ac06589c1a9e436aff84369d86cdba918cd028c_1720898460_604800&fromCDN=ws
东南卫视HD,http://jxcbn.ws-cdn.gitv.tv/hls/DONGNHD/index.m3u8?gMac=unknown&livodToken=3d4f73bafb4addcc85f22f90524143c1140ad7e7b6151b913d71a0173f6fa20b_1720898527_604800&fromCDN=ws
广西卫视HD,http://jxcbn.ws-cdn.gitv.tv/hls/GUANGXHD/index.m3u8?gMac=unknown&livodToken=b32ed040ab301b5afc0976d8fbfea6668ddf0b603e9ce1d853252b92f4ab5086_1720898603_604800&fromCDN=ws
云南卫视HD,http://jxcbn.ws-cdn.gitv.tv/hls/YUNNHD/index.m3u8?gMac=unknown&livodToken=1dcd7e5b1ff1e9a4be43d1f521549ce280f9d9c3fc6850d9b8021de23a8b1874_1720898627_604800&fromCDN=ws
贵州卫视HD,http://jxcbn.ws-cdn.gitv.tv/hls/GUIZHD/index.m3u8?gMac=unknown&livodToken=75c1edc55f04e71814f8018957631210b0dbc7755dcd1b42ec58f73286862580_1720898658_604800&fromCDN=ws
四川卫视HD,http://jxcbn.ws-cdn.gitv.tv/hls/SICHD/index.m3u8?gMac=unknown&livodToken=32301a5c3ce2d0db4e8e4f93c36b0ac860dc9c5e10802537d22da766a267aac7_1720898683_604800&fromCDN=ws
河北卫视HD,http://jxcbn.ws-cdn.gitv.tv/hls/HAIBHD/index.m3u8?gMac=unknown&livodToken=9ff2f62311757888ce36ec12cb05bdf55664c12a0baa8114f92aa1c5a9dcd44e_1720898274_604800&fromCDN=ws
山东卫视HD,http://jxcbn.ws-cdn.gitv.tv/hls/SHANDHD/index.m3u8?gMac=unknown&livodToken=478dcd82fdaebe8807469b51210ee9ade83575fd58477179dee97e84e9a700cf_1720898322_604800&fromCDN=ws
海南卫视HD,http://jxcbn.ws-cdn.gitv.tv/hls/HAINHD/index.m3u8?gMac=unknown&livodToken=e55fa576c59e1f86ac2ab6a4b436e15fe30abb0351d85680d1b8f2ea5cb2c13b_1720898776_604800&fromCDN=ws
吉林卫视HD,http://jxcbn.ws-cdn.gitv.tv/hls/JILHD/index.m3u8?gMac=unknown&livodToken=00e07f67c35dbf33f6cd570fad9c13400193d51e4523d3edc7bd1cacc4ee5746_1720898092_604800&fromCDN=ws
辽宁卫视HD,http://jxcbn.ws-cdn.gitv.tv/hls/LIAONHD/index.m3u8?gMac=unknown&livodToken=61ce7b507497c7e8faaf5c8342ee8da84f7ebf67a800145377b1b30a5f6eec09_1720898116_604800&fromCDN=ws
黑龙江卫视HD,http://jxcbn.ws-cdn.gitv.tv/hls/HEILJHD/index.m3u8?gMac=unknown&livodToken=0538f056d4852c642ef44edd5c7f5e65ca9e8667b9e7f0157db569047677b82a_1720898061_604800&fromCDN=ws
内蒙古卫视,http://jxcbn.ws-cdn.gitv.tv/hls/NMGWS/index.m3u8?gMac=unknown&livodToken=569cfa752d367735e4a3d5e5f6420ddfffe9a1d8bd68549cd461d9d0af939ee3_1720898139_604800&fromCDN=ws
宁夏卫视,http://jxcbn.ws-cdn.gitv.tv/hls/NXWS/index.m3u8?gMac=unknown&livodToken=f64b77207592eaebb2222c65e8b93ea105926fcf6ab7fbd5db8268b880015d24_1720898171_604800&fromCDN=ws
甘肃卫视,http://jxcbn.ws-cdn.gitv.tv/hls/GSWS/index.m3u8?gMac=unknown&livodToken=02368eb8604af146e6e79d6ec25403cc440132adbac49d114b284469fee74c8d_1720898203_604800&fromCDN=ws
青海卫视,http://jxcbn.ws-cdn.gitv.tv/hls/QHWS/index.m3u8?gMac=unknown&livodToken=ffdff3079aa18080a2ac94496fc37405dacfed690ecdee4c728181b4f1161776_1720898227_604800&fromCDN=ws
陕西卫视,http://jxcbn.ws-cdn.gitv.tv/hls/SXTV/index.m3u8?gMac=unknown&livodToken=fe21014d477693ede54a8475cf0640200d46ec4440f98d0aa7aea6f3a3b09ff6_1720898251_604800&fromCDN=ws
山西卫视,http://jxcbn.ws-cdn.gitv.tv/hls/SXWS/index.m3u8?gMac=unknown&livodToken=8a3127efe1b35522f543ee169ee6a70f31720e2f60908705834a6eac450f9daf_1720898298_604800&fromCDN=ws
新疆卫视,http://jxcbn.ws-cdn.gitv.tv/hls/XJWS/index.m3u8?gMac=unknown&livodToken=9e13cac0e842928c632470c249224fc5ae3051caa0add799807b1e3ed3ad79a6_1720898706_604800&fromCDN=ws
兵团卫视,http://jxcbn.ws-cdn.gitv.tv/hls/BTWS/index.m3u8?gMac=unknown&livodToken=3186d8460e972f9fcba2c38772a1e72607d91d57b7cf5871fe8f5627ebd27032_1720898731_604800&fromCDN=ws
西藏卫视,http://jxcbn.ws-cdn.gitv.tv/hls/XZWS/index.m3u8?gMac=unknown&livodToken=9674dd64c18ce078a183a422b346d0523f39e6354d9ce96d7cba553ccfa3835b_1720898752_604800&fromCDN=ws
炫动卡通,http://jxcbn.ws-cdn.gitv.tv/hls/XDKT/index.m3u8?gMac=unknown&livodToken=b83ad61aab2ad6554a932fc23d8e7684c66a6d9369e273dfe533bc64244b178c_1720898797_604800&fromCDN=ws
金鹰纪实HD,http://jxcbn.ws-cdn.gitv.tv/hls/JYJSHD/index.m3u8?gMac=unknown&livodToken=f0bd51228ed34cde19b2a3451962a442a46d7e858ecda3e8a9d787591113d54a_1720898823_604800&fromCDN=ws
金鹰卡通HD,http://jxcbn.ws-cdn.gitv.tv/hls/JYKTHD/index.m3u8?gMac=unknown&livodToken=d1fbffcac88abae0202c00814b38a960637d192181f7bb9d78a0a0d0df719d2b_1720898846_604800&fromCDN=ws
长城宽带8M,#genre#
CCTV1综合,http://124.205.11.246:91/live/CCTV1hd-8M/live.m3u8
CCTV2财经,http://124.205.11.246:91/live/CCTV2hd-8M/live.m3u8
CCTV3综艺,http://124.205.11.246:91/live/CCTV3hd-8M/live.m3u8
CCTV4中文国际,http://124.205.11.246:91/live/CCTV4hd-8M/live.m3u8
CCTV5体育,http://124.205.11.246:91/live/CCTV5hd-8M/live.m3u8
CCTV5+体育赛事,http://124.205.11.246:91/live/CCTV5+hd-8M/live.m3u8
CCTV6电影,http://124.205.11.246:91/live/CCTV6hd-8M/live.m3u8
CCTV7国防军事,http://124.205.11.246:91/live/CCTV7hd-8M/live.m3u8
CCTV8电视剧,http://124.205.11.246:91/live/CCTV8hd-8M/live.m3u8
CCTV9纪录,http://124.205.11.246:91/live/CCTV9hd-8M/live.m3u8
CCTV10科教,http://124.205.11.246:91/live/CCTV10hd-8M/live.m3u8
CCTV11戏曲,http://124.205.11.246:91/live/CCTV11hd-8M/live.m3u8
CCTV12社会与法,http://124.205.11.246:91/live/CCTV12hd-8M/live.m3u8
CCTV13新闻,http://124.205.11.246:91/live/CCTV13hd-8M/live.m3u8
CCTV14少儿,http://124.205.11.246:91/live/CCTV14hd-8M/live.m3u8
CCTV15音乐,http://124.205.11.246:91/live/CCTV15hd-8M/live.m3u8
CCTV16奥林匹克,http://124.205.11.246:91/live/CCTV16hd-8M/live.m3u8
CCTV17农业农村,http://124.205.11.246:91/live/CCTV17hd-8M/live.m3u8
湖南卫视,http://124.205.11.246:91/live/HuNWShd-8M/live.m3u8
江苏卫视,http://124.205.11.246:91/live/JSWShd-8M/live.m3u8
浙江卫视,http://124.205.11.246:91/live/ZJWShd-8M/live.m3u8
北京卫视,http://124.205.11.246:91/live/BJWShd-8M/live.m3u8
东方卫视,http://124.205.11.246:91/live/DFWShd-8M/live.m3u8
天津卫视,http://124.205.11.246:91/live/TJWShd-8M/live.m3u8
广东卫视,http://124.205.11.246:91/live/GDWShd-8M/live.m3u8
深圳卫视,http://124.205.11.246:91/live/SZWShd-8M/live.m3u8
河北卫视,http://124.205.11.246:91/live/HeBWShd-8M/live.m3u8
辽宁卫视,http://124.205.11.246:91/live/LNWShd-8M/live.m3u8
吉林卫视,http://124.205.11.246:91/live/JLWShd-8M/live.m3u8
安徽卫视,http://124.205.11.246:91/live/AHWShd-8M/live.m3u8
东南卫视,http://124.205.11.246:91/live/DNWShd-8M/live.m3u8
江西卫视,http://124.205.11.246:91/live/JXWShd-8M/live.m3u8
山东卫视,http://124.205.11.246:91/live/SDWShd-8M/live.m3u8
湖北卫视,http://124.205.11.246:91/live/HuBWShd-8M/live.m3u8
重庆卫视,http://124.205.11.246:91/live/CQWShd-8M/live.m3u8
贵州卫视,http://124.205.11.246:91/live/GZWShd-8M/live.m3u8
黑龙江卫视,http://124.205.11.246:91/live/HLJWShd-8M/live.m3u8
山西卫视,http://124.205.11.246:91/live/SXWS1-1500k/live.m3u8
内蒙古卫视,http://124.205.11.246:91/live/NMGWS-1500k/live.m3u8
河南卫视,http://124.205.11.246:91/live/HeNWS-1500k/live.m3u8
广西卫视,http://124.205.11.246:91/live/GXWS-1500k/live.m3u8
海南卫视,http://124.205.11.246:91/live/LYWS-1500k/live.m3u8
四川卫视,http://124.205.11.246:91/live/SCWS-1500k/live.m3u8
云南卫视,http://124.205.11.246:91/live/YNWS-1500k/live.m3u8
西藏卫视,http://124.205.11.246:91/live/XZWS-1500k/live.m3u8
陕西卫视,http://124.205.11.246:91/live/SXWS3-1500k/live.m3u8
甘肃卫视,http://124.205.11.246:91/live/GSWS-1500k/live.m3u8
青海卫视,http://124.205.11.246:91/live/QHWS-1500k/live.m3u8
宁夏卫视,http://124.205.11.246:91/live/NXWS-1500k/live.m3u8
新疆卫视,http://124.205.11.246:91/live/XJWS-1500k/live.m3u8
厦门卫视,http://124.205.11.246:91/live/XMWS-1500k/live.m3u8
大湾区卫视,http://124.205.11.246:91/live/NFWS-1500k/live.m3u8
金鹰卡通,http://124.205.11.246:91/live/JYKT-1500k/live.m3u8
卡酷少儿,http://124.205.11.246:91/live/BTVKKhd-5M/live.m3u8
北京文艺,http://124.205.11.246:91/live/BTVWYhd-5M/live.m3u8
北京体育休闲,http://124.205.11.246:91/live/BTVTYhd-8M/live.m3u8
北京影视,http://124.205.11.246:91/live/BTVYShd-5M/live.m3u8
北京财经,http://124.205.11.246:91/live/BTVCJhd-5M/live.m3u8
北京生活,http://124.205.11.246:91/live/BTVSHhd-5M/live.m3u8
北京新闻,http://124.205.11.246:91/live/BTVXWhd-5M/live.m3u8
北京纪实科教,http://124.205.11.246:91/live/BTVKJ-1500k/live.m3u8
北京纪实科教,http://124.205.11.246:91/live/BTVKJhd-5M/live.m3u8
北京纪实科教,http://124.205.11.246:91/live/BTVKJhd-8M/live.m3u8
北京国际,http://124.205.11.246:91/live/BTVGJ-1500k/live.m3u8
鹏博士GITV,#genre#
CCTV1综合HD,http://gouwu.pthv.gitv.tv:81/live/CCTV1hd-8M/live.m3u8
CCTV2财经HD,http://gouwu.pthv.gitv.tv:81/live/CCTV2hd-8M/live.m3u8
CCTV3综艺HD,http://gouwu.pthv.gitv.tv:81/live/CCTV3hd-8M/live.m3u8
CCTV4中文国际HD,http://gouwu.pthv.gitv.tv:81/live/CCTV4hd-8M/live.m3u8
CCTV5体育HD,http://gouwu.pthv.gitv.tv:81/live/CCTV5hd-8M/live.m3u8
CCTV5+体育赛事HD,http://gouwu.pthv.gitv.tv:81/live/CCTV5+hd-8M/live.m3u8
CCTV6电影HD,http://gouwu.pthv.gitv.tv:81/live/CCTV6hd-8M/live.m3u8
CCTV7国防军事HD,http://gouwu.pthv.gitv.tv:81/live/CCTV7hd-8M/live.m3u8
CCTV8电视剧HD,http://gouwu.pthv.gitv.tv:81/live/CCTV8hd-8M/live.m3u8
CCTV9纪录HD,http://gouwu.pthv.gitv.tv:81/live/CCTV9hd-8M/live.m3u8
CCTV10科教HD,http://gouwu.pthv.gitv.tv:81/live/CCTV10hd-8M/live.m3u8
CCTV11戏曲HD,http://gouwu.pthv.gitv.tv:81/live/CCTV11hd-8M/live.m3u8
CCTV12社会与法HD,http://gouwu.pthv.gitv.tv:81/live/CCTV12hd-8M/live.m3u8
CCTV13新闻HD,http://gouwu.pthv.gitv.tv:81/live/CCTV13hd-8M/live.m3u8
CCTV14少儿HD,http://gouwu.pthv.gitv.tv:81/live/CCTV14hd-8M/live.m3u8
CCTV15音乐HD,http://gouwu.pthv.gitv.tv:81/live/CCTV15hd-8M/live.m3u8
CCTV16奥林匹克HD,http://gouwu.pthv.gitv.tv:81/live/CCTV16hd-8M/live.m3u8
CCTV17农业农村HD,http://gouwu.pthv.gitv.tv:81/live/CCTV17hd-8M/live.m3u8
湖南卫视HD,http://gouwu.pthv.gitv.tv:81/live/HuNWShd-8M/live.m3u8
江苏卫视HD,http://gouwu.pthv.gitv.tv:81/live/JSWShd-8M/live.m3u8
浙江卫视HD,http://gouwu.pthv.gitv.tv:81/live/ZJWShd-8M/live.m3u8
北京卫视HD,http://gouwu.pthv.gitv.tv:81/live/BJWShd-8M/live.m3u8
东方卫视HD,http://gouwu.pthv.gitv.tv:81/live/DFWShd-8M/live.m3u8
天津卫视HD,http://gouwu.pthv.gitv.tv:81/live/TJWShd-8M/live.m3u8
广东卫视HD,http://gouwu.pthv.gitv.tv:81/live/GDWShd-8M/live.m3u8
深圳卫视HD,http://gouwu.pthv.gitv.tv:81/live/SZWShd-8M/live.m3u8
河南卫视HD,http://gouwu.pthv.gitv.tv:81/live/HeNWShd-8M/live.m3u8
重庆卫视HD,http://gouwu.pthv.gitv.tv:81/live/CQWShd-8M/live.m3u8
吉林卫视HD,http://gouwu.pthv.gitv.tv:81/live/JLWShd-8M/live.m3u8
辽宁卫视HD,http://gouwu.pthv.gitv.tv:81/live/LNWShd-8M/live.m3u8
山东卫视HD,http://gouwu.pthv.gitv.tv:81/live/SDWShd-8M/live.m3u8
安徽卫视HD,http://gouwu.pthv.gitv.tv:81/live/AHWShd-8M/live.m3u8
湖北卫视HD,http://gouwu.pthv.gitv.tv:81/live/HuBWShd-8M/live.m3u8
江西卫视HD,http://gouwu.pthv.gitv.tv:81/live/JXWShd-8M/live.m3u8
东南卫视HD,http://gouwu.pthv.gitv.tv:81/live/DNWShd-8M/live.m3u8
河北卫视HD,http://gouwu.pthv.gitv.tv:81/live/HeBWShd-8M/live.m3u8
贵州卫视HD,http://gouwu.pthv.gitv.tv:81/live/GZWShd-8M/live.m3u8
黑龙江卫视HD,http://gouwu.pthv.gitv.tv:81/live/HLJWShd-8M/live.m3u8
内蒙卫视,http://gouwu.pthv.gitv.tv:81/live/NMGWS-1500k/live.m3u8
宁夏卫视,http://gouwu.pthv.gitv.tv:81/live/NXWS-1500k/live.m3u8
甘肃卫视,http://gouwu.pthv.gitv.tv:81/live/GSWS-1500k/live.m3u8
青海卫视,http://gouwu.pthv.gitv.tv:81/live/QHWS-1500k/live.m3u8
陕西卫视,http://gouwu.pthv.gitv.tv:81/live/SXWS3-1500k/live.m3u8
山西卫视,http://gouwu.pthv.gitv.tv:81/live/SXWS1-1500k/live.m3u8
厦门卫视,http://gouwu.pthv.gitv.tv:81/live/XMWS-1500k/live.m3u8
广西卫视,http://gouwu.pthv.gitv.tv:81/live/GXWS-1500k/live.m3u8
云南卫视,http://gouwu.pthv.gitv.tv:81/live/YNWS-1500k/live.m3u8
四川卫视,http://gouwu.pthv.gitv.tv:81/live/SCWS-1500k/live.m3u8
新疆卫视,http://gouwu.pthv.gitv.tv:81/live/XJWS-1500k/live.m3u8
兵团卫视,http://gouwu.pthv.gitv.tv:81/live/BTWS-1500k/live.m3u8
农林卫视,http://gouwu.pthv.gitv.tv:81/live/NLWS-1500k/live.m3u8
大湾区卫视,http://gouwu.pthv.gitv.tv:81/live/NFWS-1500k/live.m3u8
西藏卫视,http://gouwu.pthv.gitv.tv:81/live/XZWS-1500k/live.m3u8
海南卫视,http://gouwu.pthv.gitv.tv:81/live/LYWS-1500k/live.m3u8
三沙卫视,http://gouwu.pthv.gitv.tv:81/live/SSWS-1500k/live.m3u8
纪实文人HD,http://gouwu.pthv.gitv.tv:81/live/JSRWhd-8M/live.m3u8
金鹰纪实HD,http://gouwu.pthv.gitv.tv:81/live/JYJShd-8M/live.m3u8
哈哈炫动,http://gouwu.pthv.gitv.tv:81/live/XDKT-1500k/live.m3u8
金鹰卡通,http://gouwu.pthv.gitv.tv:81/live/JYKT-1500k/live.m3u8
嘉佳卡通,http://gouwu.pthv.gitv.tv:81/live/JJKT-1500k/live.m3u8
CGTV,http://gouwu.pthv.gitv.tv:81/live/CCTVNEWS-1500k/live.m3u8
CETV中教1台HD,http://gouwu.pthv.gitv.tv:81/live/CETV1hd-8M/live.m3u8
CETV中教2台,http://gouwu.pthv.gitv.tv:81/live/CETV2-1500k/live.m3u8
CETV中教3台,http://gouwu.pthv.gitv.tv:81/live/CETV3-1500k/live.m3u8
CETV中教4台,http://gouwu.pthv.gitv.tv:81/live/CETV4-1500k/live.m3u8
广东联通GITV,#genre#
CCTV-1综合,http://58.248.112.203:8006/GD_CUCC/G_CCTV-1-CQ.m3u8?Authinfo=56fbZo0WT6rfM%2FXuA%2B6zBVJJZNDYjNTYW0xrj2atp5krmovGfhet3wgtKVBhIbxM
CCTV-2财经,http://58.248.112.203:8006/GD_CUCC/G_CCTV-2-CQ.m3u8?Authinfo=56fbZo0WT6rfM%2FXuA%2B6zBa03tuFR%2Fdsya1OSO0Z1VDEEWNg5ICoftLE%2FdS9%2BOGL0
CCTV-3综艺,http://58.248.112.203:8006/GD_CUCC/G_CCTV-3-CQ.m3u8?Authinfo=56fbZo0WT6rfM%2FXuA%2B6zBewnOI0Q0FnH0j6ix%2FEuEE%2FlrAcxI6a6K3gCsE%2F0xqwv
CCTV-4中文国际,http://58.248.112.203:8006/GD_CUCC/G_CCTV-4-CQ.m3u8?Authinfo=56fbZo0WT6rfM%2FXuA%2B6zBRab8%2B23dyjcWftcVGhPU%2BNGwbxMCOQz1LvVoHJF7Vi%2F
CCTV-5体育,http://58.248.112.203:8006/GD_CUCC/G_CCTV-5-CQ.m3u8?Authinfo=56fbZo0WT6rfM%2FXuA%2B6zBSH%2Fdcga0ub9HyjSFJq4wMsikb7ADOVlWhn49oiB6V%2FG
CCTV-5+体育赛事,http://58.248.112.203:8006/GD_CUCC/G_CCTV-5PLUS-CQ.m3u8?Authinfo=56fbZo0WT6rfM%2FXuA%2B6zBYdR%2FXUke9cnQAha7YFSVSe71iqwQ7l064%2Fcza9NPPzC
CCTV-6电影,http://58.248.112.203:8006/GD_CUCC/G_CCTV-6-CQ.m3u8?Authinfo=56fbZo0WT6rfM%2FXuA%2B6zBdDMxs6M4VqBOY3wzfYh5Zn70IXSXFRQUc4GqtZY1Coe
CCTV-7国防军事,http://58.248.112.203:8006/GD_CUCC/G_CCTV-7-CQ.m3u8?Authinfo=56fbZo0WT6rfM%2FXuA%2B6zBbnOCQoNESV2qWsAYbhnlDiyPV4eph4rJWQgnDXisMTe
CCTV-8电视剧,http://58.248.112.203:8006/GD_CUCC/G_CCTV-8-CQ.m3u8?Authinfo=56fbZo0WT6rfM%2FXuA%2B6zBYZxg8b1eRG7LTk8x07GrI44Cftlba08rT1Q6udDNxyt
CCTV-9纪录,http://58.248.112.203:8006/GD_CUCC/G_CCTV-9-CQ.m3u8?Authinfo=56fbZo0WT6rfM%2FXuA%2B6zBZc7OJ1GFY%2FDpyULoLmfNSfAKtWnnk8cjSV9zSUfQpeh
CCTV-10科教,http://58.248.112.203:8006/GD_CUCC/G_CCTV-10-CQ.m3u8?Authinfo=56fbZo0WT6rfM%2FXuA%2B6zBUsd9mij0JyOcibqYTdmWtJRAbL1Z1y%2FbfEZUJlg3Wvj
CCTV-11戏曲,http://58.248.112.203:8006/GD_CUCC/G_CCTV-11-CQ.m3u8?Authinfo=56fbZo0WT6rfM%2FXuA%2B6zBQtjk7PDi4fkN2nvO2gK27vcQcFLN2lXJ4FdJoL4kLn0
CCTV-12社会与法,http://58.248.112.203:8006/GD_CUCC/G_CCTV-12-CQ.m3u8?Authinfo=56fbZo0WT6rfM%2FXuA%2B6zBRtFGgShYCQQqFHAFhzmleoLMq0KIThiOUWH4ztNrd0k
CCTV-13新闻,http://58.248.112.203:8006/GD_CUCC/G_CCTV-13-CQ.m3u8?Authinfo=56fbZo0WT6rfM%2FXuA%2B6zBeUi4Thb7vkXG9wotcNmK%2FSEqT0xBi9U3gvduQFenMFz
CCTV-14少儿,http://58.248.112.203:8006/GD_CUCC/G_CCTV-14-CQ.m3u8?Authinfo=56fbZo0WT6rfM%2FXuA%2B6zBc44kHEGXWPeTdip0KbSgbcUS47HSY0WGvdsrttpfOO6
CCTV-15音乐,http://58.248.112.203:8006/GD_CUCC/G_CCTV-15-CQ.m3u8?Authinfo=56fbZo0WT6rfM%2FXuA%2B6zBYyPYgkCWBSIT3aCcBdsAjsuu6MyRrRs1cAsik3e8WER
CCTV-16奥林匹克,http://58.248.112.203:8006/GD_CUCC/G_CCTV-16-CQ.m3u8?Authinfo=56fbZo0WT6rfM%2FXuA%2B6zBVSIaGkZ%2BPhCYgvTlbbof9ehJWpxNEs6VzmrJ5uWaaFf
CCTV-17农业农村,http://58.248.112.203:8006/GD_CUCC/G_CCTV-17-CQ.m3u8?Authinfo=56fbZo0WT6rfM%2FXuA%2B6zBflsNSUvoRXJq9Dxabd45ul6sEw7jHEWykLtxlHY3hJu
